sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,1,0.0,10.0,0.02032004064008128,18.0,0.009259259259259259,hr_first,高,7.4,3,65.66666666666667,0.5773502691896257,65.0,66.0,-7.89473684210528,4.261934272737805,1.598381201678783,1.0513594966110207,3.269191902044584,2.10342584329501,1.520299390295181,3.109490057951235,3.816746576733099,1.0907811128213287,0.7404815548202759,1.5725883833894896,1.0143451500283562,1.4730699309398394,2.1237374154055417,4.4875788449577385,1.599553482177479,1.048494886438136,1.9052530578600015,1.08495444999683,1.525571085626708,1.8171314734136441,8.184787360553102,3.424282337900692,2.2196855486540983,3.1108573770405528,1.6354827959908231,1.5426880352385943,1.401485619855846,938,2.7830927505330494,0.10444351151636658,0.9818763326226013,0.8187633262260128,0.13432835820895522,0.0010660980810234541,0,0,0.0,0.0,,,,,
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,2,10.0,20.0,0.04064008128016256,18.0,0.018518518518518517,hr_first,高,7.4,1,65.0,,65.0,65.0,,3.321674096438073,1.3692930671850498,1.0193987311161488,3.1231044335516285,1.9820022188676174,1.343235993325005,3.0636730635637672,2.1415779016310936,0.9059994064138502,0.7746938614447184,1.7248855448967193,0.7964955755402042,1.1694934625198417,2.2265382891765766,4.06029119182594,1.4215530477444527,1.0670305258315682,1.7738930240983648,0.9030699217186953,1.3322515273277629,1.6624576159298892,5.805796484194907,3.6268628034769734,2.551508994920067,2.7415080820602795,1.6105920039321298,1.4214579727909582,1.0744653801019286,998,2.685386773547094,0.08407640114264,0.9899799599198397,0.8597194388777555,0.10521042084168336,0.0,6,1,1453.8936660789366,1.6400379764003796,0.16400379764003797,0.14538936660789364,1.0,-1.000088900581841e-12,2.71243
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,3,20.0,30.0,0.06096012192024384,18.0,0.027777777777777776,hr_first,高,7.4,3,65.0,0.0,65.0,65.0,9.979528431028703e-14,3.9756267323083674,1.6206924998565395,0.9839702832781769,2.921060206060721,2.046159498739761,1.6470949655685443,2.9686467728770953,2.8817387763383913,1.1367413326904423,0.7293140046092907,1.7681299421290875,0.8494743634268925,1.5586445968488143,2.4243740432165604,4.690958045679151,1.6068161128503706,1.037785900843291,1.9526822281354468,1.057718967779537,1.548311758277592,1.8815848495809426,6.216538000154217,3.6387629734193445,1.8502748634587016,2.911735991893463,1.483431299150616,1.9666067162677867,1.5736775380770087,999,2.726353238866397,0.10330315465922985,0.983983983983984,0.8688688688688688,0.09309309309309309,0.013013013013013013,11,4,2603.1063339210623,4.359962023599619,0.43599620235996184,0.26031063339210625,0.5155379104235605,1.2175316046802882,2.7711749302424993
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,4,30.0,40.0,0.08128016256032512,18.0,0.037037037037037035,hr_first,高,7.4,2,64.0,0.0,64.0,64.0,-4.263256414560601e-13,3.9096783537715063,1.458369424826139,0.9327859734796881,2.3678965844182,1.187753958779271,1.5634555688973337,2.5385207879841283,2.8462004724876686,1.1751114008889165,0.6831882180658261,1.955257738181942,0.7212455821582534,1.7200404951592607,2.861960564421722,4.642838935301043,1.6260930193350456,0.9910012934687085,1.7742767995036033,0.7738821485842435,1.6408586245567707,1.7903879754720293,7.045726673838402,3.9805825239653685,2.0487660163851458,3.143954523914351,1.277472944690148,1.9429170984536002,1.534560071169846,998,2.659757575757576,0.11809608527428006,0.9629258517034068,0.8336673346693386,0.12725450901803606,0.01002004008016032,5,2,995.7955855888944,0.5746079547541225,0.05746079547541225,0.09957955855888943,0.6156953260242354,0.666132203320721,2.726858390075014
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,5,40.0,50.0,0.1016002032004064,18.0,0.046296296296296294,hr_first,高,7.4,2,67.0,0.0,67.0,67.0,0.0,3.592655317877363,1.4283840380391273,0.8967710369709755,1.4158250333358715,0.7904017080695637,1.5928079511396596,1.5788032563117842,2.5534464691762055,1.0933217578439351,0.662953193636724,1.037783496078882,0.5748387550403035,1.6491688528512296,1.5653948212934508,3.7790915886383916,1.150227819012943,1.0808539726309678,1.5388785612350118,0.751324433960825,1.064184291438656,1.4237617663458648,6.284513887058395,5.209458214568631,1.5722215044343717,2.445766449434121,1.1490166602848155,3.3134378329488663,1.5556118794558906,998,2.7578787878787883,0.1000207129941185,0.9749498997995992,0.908817635270541,0.07114228456913828,0.01503006012024048,5,2,1272.9075617907379,0.7345109993022145,0.07345109993022145,0.1272907561790738,0.6156953260242354,0.666132203320721,2.726858390075014
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,6,50.0,60.0,0.12192024384048768,18.0,0.05555555555555555,hr_first,高,7.4,1,67.0,,67.0,67.0,,3.0115214571260434,1.5644314399754558,0.944268169585233,3.0071533116316362,2.2534969063612036,1.6567660441870318,3.184639076579823,2.2535145798714926,1.1436090607612202,0.6997655182813235,1.8447639769425717,0.7685838724157442,1.6342746689919927,2.636260188231981,3.7710025089067507,1.6570658949209427,1.0419917052243832,1.9341568445098565,0.8988844787085314,1.5902870307054018,1.8562113640754498,5.0346437104162085,3.2964319476815036,1.958542997843658,4.699817115507827,2.372130569383802,1.6831042010876718,2.399649699129553,998,2.720985971943888,0.03794286212142028,1.0,0.9749498997995992,0.025050100200400802,0.0,5,2,1197.2968526203679,0.690881045943663,0.06908810459436629,0.11972968526203678,0.6156953260242354,0.666132203320721,2.7268583900750145
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,7,60.0,70.0,0.14224028448056897,18.0,0.06481481481481481,hr_first,高,7.4,3,68.0,1.7320508075688772,67.0,70.0,27.69230769230782,3.2278598465705852,1.7814685973844437,0.9824423619621042,2.6226737180467006,1.3655874557327765,1.8133059672086498,2.669544616142952,2.589710895990931,1.2657377600038258,0.9385821321895089,2.098423129253718,0.7066448272142954,1.3485636649092536,2.2357373502929905,4.0711632997060425,1.7276375911126587,1.070858827109164,2.212052413613587,0.9797898325200486,1.6133196527655296,2.0656807018952548,7.053347350521307,5.210315251584682,1.889909832006519,3.298986675278176,1.421563543089477,2.7569120829711147,1.7455788733453164,998,2.7180380761523044,0.06920454001133708,0.9949899799599199,0.9498997995991983,0.047094188376753505,0.0,0,0,0.0,0.0,,,,,
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,8,70.0,80.0,0.16256032512065025,18.0,0.07407407407407407,hr_first,高,7.4,1,69.0,,69.0,69.0,,3.2934520199722783,1.3738613172178271,1.0307745599613916,3.005742206096919,2.080676225737948,1.332843640678604,2.9160034820897223,2.7338396187354252,1.2197302296981902,0.8000178972188047,1.5981561666456932,0.8195486824670581,1.524628678856411,1.9976505178216006,3.82028131776922,1.4026007990251,1.0717378844819787,1.8505840972018688,0.8848935069739099,1.3087162629349833,1.726713335412551,3.501538345511625,3.5969968657636606,2.0017749914671583,3.257494203769104,1.4717222627655486,1.7969036885246121,1.6273028775235088,999,2.722785785785786,0.02682045547379465,1.0,0.96996996996997,0.03003003003003003,0.0,0,0,0.0,0.0,,,,,
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,9,80.0,90.0,0.18288036576073152,18.0,0.08333333333333333,hr_first,高,7.4,3,67.0,0.0,67.0,67.0,-2.2391719686491325e-13,3.4368889463728256,1.460590005224961,1.0859671512016402,3.421473581797938,2.364727634663792,1.3449670218926921,3.1506234585567547,2.302604980158319,1.1490910257792206,0.8070547553057708,1.6188896357348401,0.7882737946136623,1.4238080108255626,2.005922925417232,3.990942113920176,1.4129491408632342,1.0764483544698213,1.8917901524998986,0.8979273478893272,1.3126028155425518,1.7574369867764386,4.892561982649628,3.786316024022613,2.015354920111033,4.0604761436636245,2.3032983554502264,1.8787341059578784,2.0147697574975623,998,2.6816823647294594,0.03126850600881516,1.0,0.9819639278557114,0.018036072144288578,0.0,5,2,57.351181999430445,0.06835659356308754,0.006835659356308754,0.005735118199943045,0.8387961859356377,0.4416606973314713,2.6943975089392134
subject_20_task_5_6_repeat_1,20,5_6,1,5_6_1,10,90.0,100.0,0.2032004064008128,18.0,0.09259259259259259,hr_first,高,7.4,1,67.0,,67.0,67.0,,4.153979364846918,1.543816421629188,0.916492547721754,3.0054560377781483,1.842915513071519,1.6844833331889664,3.2793022106390337,2.760549734901865,1.1237976282309519,0.6233451567580958,1.2830785871822628,0.6704795714003834,1.802849698994403,2.0583758023489267,4.962089623537382,1.533994236458108,0.8808772835498185,1.6107204061070375,0.7956126980852933,1.741439205102798,1.8285412011262772,6.742106816023998,3.4766168249900566,2.095389450995227,3.576217021919737,1.8339258777967171,1.6591745383364422,1.706707562272577,998,2.6663296593186376,0.05750637784247808,0.9919839679358717,0.9539078156312625,0.041082164328657314,0.00501002004008016,5,2,735.271564095261,0.8763665841421466,0.08763665841421467,0.0735271564095261,0.8387961859356377,0.4416606973314712,2.6943975089392134
