sample_id,subject,task,repeat_id,label_task,task_difficulty,anchor_source,window_file,window_n,has_hr_inside,has_eye_timeseries,has_eye_aoi_metrics,nasa_tlx_weighted_task_label
subject_01_task_2,1,2,,2,中,eye,window_features_10s_step10s/subject_01_task_2.csv,150,1,1,1,4.733333333333333
subject_01_task_3,1,3,,3,低,eye,window_features_10s_step10s/subject_01_task_3.csv,29,1,1,1,3.6666666666666665
subject_01_task_5_6,1,5_6,,5_6,高,eye,window_features_10s_step10s/subject_01_task_5_6.csv,52,1,1,1,6.666666666666667
subject_02_task_1,2,1,,1,中,eye,window_features_10s_step10s/subject_02_task_1.csv,142,1,1,1,5.666666666666667
subject_02_task_3,2,3,,3,低,eye,window_features_10s_step10s/subject_02_task_3.csv,35,1,1,1,3.6666666666666665
subject_02_task_5_6,2,5_6,,5_6,高,eye,window_features_10s_step10s/subject_02_task_5_6.csv,68,1,1,1,6.6
subject_03_task_1,3,1,,1,中,eye,window_features_10s_step10s/subject_03_task_1.csv,151,1,1,1,5.533333333333333
subject_03_task_4,3,4,,4,中,eye,window_features_10s_step10s/subject_03_task_4.csv,70,1,1,1,5.666666666666667
subject_03_task_5_6,3,5_6,,5_6,高,eye,window_features_10s_step10s/subject_03_task_5_6.csv,60,1,1,1,6.0
subject_04_task_2,4,2,,2,中,eye,window_features_10s_step10s/subject_04_task_2.csv,206,1,1,1,5.666666666666667
subject_04_task_4,4,4,,4,中,eye,window_features_10s_step10s/subject_04_task_4.csv,120,1,1,1,6.266666666666667
subject_04_task_5_6,4,5_6,,5_6,高,eye,window_features_10s_step10s/subject_04_task_5_6.csv,44,1,1,1,6.866666666666666
subject_05_task_1,5,1,,1,中,eye,window_features_10s_step10s/subject_05_task_1.csv,142,1,1,1,4.066666666666666
subject_05_task_4,5,4,,4,中,eye,window_features_10s_step10s/subject_05_task_4.csv,106,1,1,1,5.733333333333333
subject_05_task_5_6,5,5_6,,5_6,高,eye,window_features_10s_step10s/subject_05_task_5_6.csv,31,1,1,1,5.733333333333333
subject_06_task_2,6,2,,2,中,eye,window_features_10s_step10s/subject_06_task_2.csv,211,1,1,1,5.666666666666667
subject_06_task_3,6,3,,3,低,eye,window_features_10s_step10s/subject_06_task_3.csv,53,1,1,1,5.0
subject_06_task_5_6,6,5_6,,5_6,高,eye,window_features_10s_step10s/subject_06_task_5_6.csv,47,1,1,1,6.266666666666667
subject_07_task_2,7,2,,2,中,eye,window_features_10s_step10s/subject_07_task_2.csv,102,1,1,1,4.866666666666666
subject_07_task_3,7,3,,3,低,eye,window_features_10s_step10s/subject_07_task_3.csv,42,1,1,1,4.066666666666666
subject_07_task_5_6,7,5_6,,5_6,高,eye,window_features_10s_step10s/subject_07_task_5_6.csv,62,1,1,1,6.866666666666666
subject_08_task_1,8,1,,1,中,eye,window_features_10s_step10s/subject_08_task_1.csv,135,1,1,1,5.533333333333333
subject_08_task_4,8,4,,4,中,eye,window_features_10s_step10s/subject_08_task_4.csv,92,1,1,1,5.066666666666666
subject_08_task_5_6,8,5_6,,5_6,高,eye,window_features_10s_step10s/subject_08_task_5_6.csv,41,1,1,1,6.066666666666666
subject_09_task_1,9,1,,1,中,eye,window_features_10s_step10s/subject_09_task_1.csv,108,1,1,1,5.666666666666667
subject_09_task_4,9,4,,4,中,eye,window_features_10s_step10s/subject_09_task_4.csv,90,1,1,1,5.2
subject_09_task_5_6,9,5_6,,5_6,高,eye,window_features_10s_step10s/subject_09_task_5_6.csv,37,1,1,1,6.0
subject_10_task_2,10,2,,2,中,hr_first,window_features_10s_step10s/subject_10_task_2.csv,3,1,1,1,4.4
subject_10_task_3,10,3,,3,低,eye,window_features_10s_step10s/subject_10_task_3.csv,55,1,1,1,4.4
subject_10_task_5_6,10,5_6,,5_6,高,eye,window_features_10s_step10s/subject_10_task_5_6.csv,66,1,1,1,7.066666666666666
subject_11_task_1,11,1,,1,中,eye,window_features_10s_step10s/subject_11_task_1.csv,120,1,1,1,5.666666666666667
subject_11_task_3,11,3,,3,低,eye,window_features_10s_step10s/subject_11_task_3.csv,50,1,1,1,4.066666666666666
subject_11_task_5_6,11,5_6,,5_6,高,eye,window_features_10s_step10s/subject_11_task_5_6.csv,75,1,1,1,7.8
subject_12_task_2,12,2,,2,中,eye,window_features_10s_step10s/subject_12_task_2.csv,209,1,1,1,5.333333333333333
subject_12_task_3,12,3,,3,低,eye,window_features_10s_step10s/subject_12_task_3.csv,33,1,1,1,4.266666666666667
subject_12_task_5_6,12,5_6,,5_6,高,eye,window_features_10s_step10s/subject_12_task_5_6.csv,69,1,1,1,7.666666666666667
subject_13_task_3,13,3,,3,低,eye,window_features_10s_step10s/subject_13_task_3.csv,4,1,1,1,2.2666666666666666
subject_13_task_5_6,13,5_6,,5_6,高,eye,window_features_10s_step10s/subject_13_task_5_6.csv,73,1,1,1,4.6
subject_13_task_5,13,5,,5,低,eye,window_features_10s_step10s/subject_13_task_5.csv,54,1,1,1,2.2666666666666666
subject_14_task_3,14,3,,3,低,eye,window_features_10s_step10s/subject_14_task_3.csv,26,1,1,1,1.3333333333333333
subject_14_task_5_6,14,5_6,,5_6,高,eye,window_features_10s_step10s/subject_14_task_5_6.csv,71,1,1,1,4.733333333333333
subject_14_task_5,14,5,,5,低,eye,window_features_10s_step10s/subject_14_task_5.csv,113,1,1,1,3.466666666666667
subject_15_task_3,15,3,,3,低,eye,window_features_10s_step10s/subject_15_task_3.csv,38,1,1,1,2.2666666666666666
subject_15_task_5_6,15,5_6,,5_6,高,eye,window_features_10s_step10s/subject_15_task_5_6.csv,40,1,1,1,7.333333333333333
subject_15_task_5,15,5,,5,低,eye,window_features_10s_step10s/subject_15_task_5.csv,53,1,1,1,2.6
subject_16_task_3,16,3,,3,低,eye,window_features_10s_step10s/subject_16_task_3.csv,36,1,1,1,4.666666666666667
subject_16_task_5_6_repeat_1,16,5_6,1.0,5_6_1,高,eye,window_features_10s_step10s/subject_16_task_5_6_repeat_1.csv,71,1,1,1,6.066666666666666
subject_16_task_5_6,16,5_6,,5_6,高,hr_first,window_features_10s_step10s/subject_16_task_5_6.csv,28,1,1,1,6.066666666666666
subject_16_task_5,16,5,,5,低,eye,window_features_10s_step10s/subject_16_task_5.csv,11,1,1,1,3.6
subject_17_task_4,17,4,,4,中,eye,window_features_10s_step10s/subject_17_task_4.csv,84,1,1,1,4.266666666666667
subject_17_task_5_6,17,5_6,,5_6,高,eye,window_features_10s_step10s/subject_17_task_5_6.csv,49,1,1,1,6.4
subject_17_task_5,17,5,,5,低,eye,window_features_10s_step10s/subject_17_task_5.csv,25,1,1,1,2.2666666666666666
subject_18_task_3,18,3,,3,低,eye,window_features_10s_step10s/subject_18_task_3.csv,24,1,1,1,3.1333333333333333
subject_18_task_5_6,18,5_6,,5_6,高,eye,window_features_10s_step10s/subject_18_task_5_6.csv,85,1,1,1,6.6
subject_18_task_5,18,5,,5,低,eye,window_features_10s_step10s/subject_18_task_5.csv,34,1,1,1,3.8666666666666663
subject_19_task_3,19,3,,3,低,eye,window_features_10s_step10s/subject_19_task_3.csv,29,1,1,1,2.8666666666666667
subject_19_task_5_6,19,5_6,,5_6,高,eye,window_features_10s_step10s/subject_19_task_5_6.csv,83,1,1,1,5.733333333333333
subject_19_task_5_repeat_1,19,5,1.0,5,低,hr_first,window_features_10s_step10s/subject_19_task_5_repeat_1.csv,23,1,1,1,3.8666666666666663
subject_19_task_5,19,5,,5,低,hr_first,window_features_10s_step10s/subject_19_task_5.csv,15,1,1,1,3.8666666666666663
subject_20_task_3,20,3,,3,低,eye,window_features_10s_step10s/subject_20_task_3.csv,20,1,1,1,1.6
subject_20_task_4,20,4,,4,中,eye,window_features_10s_step10s/subject_20_task_4.csv,152,1,1,1,5.666666666666667
subject_20_task_5_6_repeat_1,20,5_6,1.0,5_6_1,高,hr_first,window_features_10s_step10s/subject_20_task_5_6_repeat_1.csv,50,1,1,1,7.4
