sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,1,0.0,10.0,0.0238095238095238,18.0,0.0092592592592592,eye,高,6.533333333333333,0,,,,,,5.1592082398603,2.476912309174758,2.7335935012094024,4.629175645091454,2.7660502803989715,0.9061011844222326,1.693439658472777,3.193571310514764,2.311480769324631,2.342751674213801,3.191501448578973,0.992774399119435,0.986652061661779,1.362287554292327,4.340201486409329,2.792825068683853,3.845205753736084,7.102020669019801,3.235508719718675,0.7263135570756608,1.84698066211914,16.56393789552281,7.71913852479778,11.40652492227414,21.70820182968787,12.82131750625758,0.6767300801424806,1.903138947015939,973,3.1022560083594573,0.1660414586213975,0.921891058581706,0.7081192189105858,0.1963001027749229,0.0431654676258992,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,2,10.0,20.0,0.0476190476190476,18.0,0.0185185185185185,eye,高,6.533333333333333,0,,,,,,5.229457058527981,4.383062317105551,3.5249880953885673,3.938008839809226,2.0501946320896565,1.2434261332228405,1.1171694012132911,3.603835547088622,3.8021791614549785,3.729622738973507,2.9128526653187623,0.988934388908275,1.0194540916225323,0.7810046401959835,4.169287986882511,4.129311055534505,5.937554946246441,5.013738183310229,2.282332557958525,0.695456478789294,0.8444112481821793,9.362609967916352,13.707761912860024,13.128599875396688,15.351963663631231,9.117326405869036,1.0441145318587015,1.16935269635273,998,3.216954314720812,0.1619060971453762,0.9428857715430862,0.8537074148296593,0.1042084168336673,0.0200400801603206,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,3,20.0,30.0,0.0714285714285714,18.0,0.0277777777777777,eye,高,6.533333333333333,0,,,,,,27.095673542811213,5.125315055476467,4.547001697922399,33.82707473155135,60.28194311875067,1.1271856480322646,7.439424257749344,13.06922272036726,4.345016706754012,4.748234719951414,23.600418420725077,36.06914885057153,0.9150804378934476,4.970356314012751,12.003877593595067,4.219391555446395,6.092647274633267,18.19043587685595,23.93775742841619,0.6925382949729963,2.9856374506680896,33.176483504179004,18.44094047071107,11.830922101175238,21.441944759901087,14.984150045851512,1.5587069471853945,1.8123646302912544,998,3.12875250501002,0.120047307077448,0.9849699398797596,0.9288577154308616,0.0661322645290581,0.0,0,0,0.0,0.0,,,,,,6.0,2.0,0.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.6,1.0,6.0,0.2
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,4,30.0,40.0,0.0952380952380952,18.0,0.037037037037037,eye,高,6.533333333333333,2,80.5,2.1213203435596424,79.0,82.0,-36.000000000000085,5.031801081252599,2.785374240779221,3.670005481922385,3.651153458451692,1.6829926317174797,0.7589564251332439,0.9948632165364456,3.901259139576242,2.6236826422588204,3.7909307658494367,2.9353250442574677,0.870890155403749,0.6920945815983347,0.7743019394340607,5.03028190296784,3.3098067210582447,7.244817477363634,5.359090905885232,2.393830508112205,0.4568516365525709,0.7397137226202954,11.76289337386348,6.897730098461579,15.932393320432404,12.458533463645688,8.50962519072876,0.4329374727157674,0.7819624593166624,998,3.0629868554095045,0.07387410527569,0.9719438877755512,0.9018036072144288,0.0851703406813627,0.0090180360721442,6,3,1270.0040408757022,1.6393024550564816,0.1639302455056481,0.1270004040875702,0.5495876658300466,0.7157854821502192,2.955318264610971,7.0,2.0,0.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,3.0,0.325,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,0.15,1.0,2.0,13.0,0.325
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,5,40.0,50.0,0.119047619047619,18.0,0.0462962962962962,eye,高,6.533333333333333,2,77.0,0.0,77.0,77.0,-8.526512829121202e-13,5.962506772288995,4.626207328331683,3.3876569908435137,3.718211027523888,1.8219764051783849,1.3656067721247582,1.0975760053552728,4.198556325091122,3.4690705658294356,3.3958788293518105,3.0732510614674244,1.079574378275396,1.0215531060310523,0.9049943227962678,6.390367255831221,4.452574699175697,6.52357706772814,4.817076128596522,2.151206687748312,0.6825357703218371,0.7384102431205104,15.84102215736304,10.028461367022276,13.924989557978208,12.351281928497643,8.269428757959266,0.7201772988961813,0.8869868000311051,998,2.977013026052104,0.0921200583266186,0.9629258517034068,0.9108216432865732,0.0781563126252505,0.003006012024048,6,3,2504.4449632729297,3.232700562130709,0.3232700562130709,0.250444496327293,0.5495876658300466,0.7157854821502192,2.955318264610972,1.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,0.28,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,6.0,0.12,1.2307692307692308,2.0,14.0,0.28
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,6,50.0,60.0,0.1428571428571428,18.0,0.0555555555555555,eye,高,6.533333333333333,2,79.5,0.7071067811865476,79.0,80.0,-12.00000000000017,6.31673579557794,5.812967802983007,3.1488768715410576,3.810726084717663,1.8060189400740876,1.8460448090300037,1.210185802804254,4.54212047503216,5.745522874325393,3.203330364279941,3.185956458080161,0.8996647971618686,1.7936092194527358,0.9945762989688748,5.526354709175699,5.119734972894154,5.919908335424848,5.329530040947184,1.822159036639223,0.8648334877514164,0.9002723925732382,15.52021536812316,15.541451549031592,13.052748787670046,16.83780723784615,9.9464334211362,1.1906650316991036,1.2899817127984234,999,2.917456456456456,0.0601450805743116,0.98998998998999,0.960960960960961,0.029029029029029,0.006006006006006,6,3,2504.4449632729297,3.232700562130709,0.3232700562130709,0.250444496327293,0.5495876658300466,0.7157854821502192,2.955318264610972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.23333333333333334,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,6.0,0.1,1.2307692307692308,2.0,14.0,0.23333333333333334
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,7,60.0,70.0,0.1666666666666666,18.0,0.0648148148148148,eye,高,6.533333333333333,2,78.5,0.7071067811865476,78.0,79.0,30.0,5.801759393775075,6.275094512218989,3.868175030168992,4.353463371744933,1.908337555442979,1.6222364456824605,1.1254566656862837,5.127993869939162,4.39588957666889,4.410445276291513,3.2291998982707697,0.9097022745207614,0.9966997210687846,0.7321709478245734,5.612451265431494,4.9477744346423345,6.96019301010335,5.107998209640164,1.9914135925454644,0.7108674181104162,0.7338874370617945,16.98326047614545,19.74451748217767,15.226336726320984,16.76331973476769,11.348197967492766,1.296734588040887,1.1009424023698229,998,2.896114228456914,0.0844428372108883,0.9879759519038076,0.933867735470942,0.0480961923847695,0.0040080160320641,6,3,2504.4449632729297,3.232700562130709,0.3232700562130709,0.250444496327293,0.5495876658300466,0.7157854821502192,2.955318264610972,3.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.24285714285714285,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,24.0,0.34285714285714286,2.25,2.0,17.0,0.2833333333333333
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,8,70.0,80.0,0.1904761904761904,18.0,0.074074074074074,eye,高,6.533333333333333,3,76.0,0.0,76.0,76.0,2.774490497426862e-13,6.964923795985151,5.233498158536247,3.3761852122642235,4.503972888701922,1.7385011004267823,1.5501217585827956,1.3340420046687405,4.057043784440057,3.6303667477078583,3.3558022921568944,3.617589562111726,0.9846440256579464,1.081817828241154,1.078010337666994,5.235033707296983,4.689179444426118,5.940742433263525,6.253131758482883,2.4330108981680025,0.7893254920749249,1.0525842230543816,17.733988714241537,13.816674565325677,11.412565654615229,18.355075804086933,12.823475320530044,1.210654552487786,1.6083215956496304,998,3.035401215805471,0.09711764429917,0.9639278557114228,0.8897795591182365,0.095190380761523,0.0130260521042084,6,3,2504.4449632729297,3.232700562130709,0.3232700562130709,0.250444496327293,0.5495876658300466,0.7157854821502192,2.955318264610972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.2125,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,2.0,24.0,0.3,2.25,2.0,17.0,0.2833333333333333
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,9,80.0,90.0,0.2142857142857142,18.0,0.0833333333333333,eye,高,6.533333333333333,2,75.5,0.7071067811865476,75.0,76.0,14.999999999999892,5.060074273483643,3.0645227319926365,2.839109857268576,4.513930988466565,2.154396703989644,1.0793956155472346,1.5899106464338384,4.092496764872721,3.366351081395299,3.3187999783180935,3.3926120694811206,1.1388055644605963,1.0143278002253402,1.0222405964942889,5.217353582377738,3.373454943642284,5.816175232950612,6.1327951666988305,2.5207929504078286,0.5800126042507305,1.0544378257302942,12.973498094605423,9.869917050345087,15.20782320546831,22.039628224152526,12.608057701940842,0.6490026164162759,1.4492296449256254,998,3.0710761523046095,0.1695006360143011,0.9919839679358716,0.8977955911823647,0.0821643286573146,0.0,6,3,2504.4449632729297,3.232700562130709,0.3232700562130709,0.250444496327293,0.5495876658300466,0.7157854821502192,2.955318264610972,4.0,1.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,0.23333333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,49.0,0.5444444444444444,3.1,2.0,15.0,0.25
subject_23_task_5_6_repeat_1,23,5_6,1,5_6_1,10,90.0,100.0,0.238095238095238,18.0,0.0925925925925925,eye,高,6.533333333333333,2,83.0,0.0,83.0,83.0,-6.394884621840903e-13,4.29284165379116,5.7110474276486185,4.790706837762717,5.052164632257189,1.8458470367273785,1.192109561501723,1.0545760371796356,3.5086030806521578,3.2876837474444023,5.990246534288782,3.727201124340358,1.0802627756395875,0.5488394724032417,0.622211640707186,4.479928603370629,4.692819804655114,9.251531071892831,7.0270822979933545,2.9025311825275706,0.5072479104472142,0.7595588495986793,13.025340124104018,15.06682496645079,9.687798723167196,17.044560799996223,11.446048316880116,1.5552372006264237,1.7593842819252865,998,2.9706723446893784,0.072216185089494,0.995991983967936,0.8947895791583166,0.0991983967935871,0.0,17,3,449.25801378010226,0.90734292835094,0.090734292835094,0.0449258013780102,0.8114045791778275,0.4939101907691143,2.928716911080924,1.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,5.0,0.22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,58.0,0.58,3.380952380952381,2.0,9.0,0.15
