sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density,blink_count_raw,blink_total_ms_raw,blink_count,blink_rate_per_min,blink_duration_mean_ms,blink_duration_std_ms,blink_duration_median_ms,blink_total_duration_ratio,eeg_frontal_delta_power_z_within_subject,eeg_frontal_theta_power_z_within_subject,eeg_frontal_alpha_power_z_within_subject,eeg_frontal_beta_power_z_within_subject,eeg_frontal_gamma_power_z_within_subject,eeg_frontal_theta_alpha_z_within_subject,eeg_frontal_beta_alpha_z_within_subject,eeg_central_delta_power_z_within_subject,eeg_central_theta_power_z_within_subject,eeg_central_alpha_power_z_within_subject,eeg_central_beta_power_z_within_subject,eeg_central_gamma_power_z_within_subject,eeg_central_theta_alpha_z_within_subject,eeg_central_beta_alpha_z_within_subject,eeg_parietal_delta_power_z_within_subject,eeg_parietal_theta_power_z_within_subject,eeg_parietal_alpha_power_z_within_subject,eeg_parietal_beta_power_z_within_subject,eeg_parietal_gamma_power_z_within_subject,eeg_parietal_theta_alpha_z_within_subject,eeg_parietal_beta_alpha_z_within_subject,eeg_occipital_delta_power_z_within_subject,eeg_occipital_theta_power_z_within_subject,eeg_occipital_alpha_power_z_within_subject,eeg_occipital_beta_power_z_within_subject,eeg_occipital_gamma_power_z_within_subject,eeg_occipital_theta_alpha_z_within_subject,eeg_occipital_beta_alpha_z_within_subject
subject_16_task_5_6,16,5_6,,5_6,1,0.0,30.0,0.1091389674430502,18.0,0.0277777777777777,hr_first,高,6.066666666666666,6,67.5,1.378404875209022,66.0,70.0,5.101214574898909,12.478892306320471,3.4507186610714204,2.2507256556140818,5.2231548173427065,3.548430186308459,1.5331582738501002,2.3206536986479747,6.0464016608218225,3.193411609015525,2.110932258704874,3.951899103508372,1.9636002303307103,1.5127968203843678,1.8721108113308151,12.31899679214189,4.664678903113739,3.149852884734449,6.538142152796461,3.4623394238693415,1.480919609204859,2.07569762527105,11.399230370881776,8.531149919040784,8.738685002908534,12.277775574645585,8.857258694527543,0.9762509938510572,1.4049912052624758,2971,3.30225804219993,0.2277366380224257,0.9451363177381352,0.8014136654325144,0.1255469538875799,0.0376977448670481,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,15,1122.0,11,22.0,94.63636363636364,32.68722296945009,101.0,0.0347,3.205328987778399,2.658463587977691,1.994895632030624,0.6009175711383883,0.47439661064254623,0.3403199221851655,-0.5713233432710518,3.1012644540445984,2.0436910922573652,2.669144002976438,3.3335928380464916,1.7885161742227622,-0.8877755065548459,0.49594919672007015,2.409332184308156,2.0674461139813753,2.255034013288458,3.0075722658936246,2.9981099016448076,0.2224867419679748,-0.6256421103695754,-0.40031482237901,-1.2723834773920741,-0.8616912532722253,-1.1334040621897499,-0.7911710555728795,-0.3193891635422271,-0.3303485109149409
subject_16_task_5_6,16,5_6,,5_6,2,5.0,35.0,0.1273287953502252,18.0,0.0324074074074074,hr_first,高,6.066666666666666,7,70.0,4.618802153517006,66.0,77.0,23.260015710919124,11.678623189850937,3.2477306374578347,2.202429957837212,5.003680803147671,3.0482394315004737,1.474612450625721,2.2718910017285134,6.376113555075677,2.884446827482831,2.0640692817510233,3.663235638318231,1.6992479535615574,1.397456399833562,1.7747638951394975,12.278127236954337,4.616337638518387,3.2480632393589284,6.376171342614839,3.171952090432563,1.421258546502166,1.9630687190294072,12.52775668123518,8.576466609697588,9.02213353998692,12.78737588403158,8.441677685161292,0.9506029335174332,1.4173339185633602,2994,3.258650321271559,0.2388317490223342,0.960253841015364,0.8406813627254509,0.1112224448897795,0.0240480961923847,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13,722.0,8,16.0,76.375,20.825379434032612,75.0,0.02036666666666667,2.823965249482169,2.0807477092556814,1.8133194069813474,0.4195504503190272,0.05975768151845115,-0.011079909149785691,-0.6731379763602005,3.480726015580829,0.9184083664011541,2.4415090148749554,2.5283120156217946,1.072957505498994,-1.4200516685039895,-0.0073140518840603495,2.3926228481186502,1.9915271468968057,2.5151029747251274,2.686223515223289,2.0818098949585924,-0.29726555300591123,-1.1381567926860325,-0.25799444872131344,-1.2435066232085776,-0.715017681237794,-0.9238283696672417,-0.9694257005394217,-0.4556619172741794,-0.2612884144065576
subject_16_task_5_6,16,5_6,,5_6,3,10.0,40.0,0.1455186232574002,18.0,0.037037037037037,hr_first,高,6.066666666666666,6,72.16666666666667,4.708148963941844,67.0,77.0,25.751962323390934,9.964856125049728,3.253120665431114,2.081412024873184,4.66324536686022,2.870727793076736,1.5629393058922676,2.2404239579351626,5.617956381512848,2.9742291197496713,2.079496298735812,3.5056587187784967,1.6332460388029493,1.4302642046334944,1.6858210908620956,11.983750120778328,4.628991983246914,3.1768134291679697,6.2162872241290685,3.2037247652981113,1.4571179851941385,1.9567681145685536,10.89171118615392,9.402440514701986,9.318242827204708,12.420775960269925,8.576200547532672,1.009035790229834,1.3329525953119978,2994,3.2011627749576985,0.2314761399219445,0.958249832999332,0.8490313961255845,0.1052104208416833,0.0257181028724114,6,3,553.2725613983873,1.4986315366930638,0.0499543845564354,0.0184424187132795,0.8141051364365971,0.6060861381147971,2.9071405688202248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13,772.0,9,18.0,76.77777777777777,25.11860753394671,70.0,0.023033333333333333,2.0072792110594593,2.096088046540047,1.358331065527077,0.13822422985144397,-0.08739265054103933,0.5190696443727021,-0.738839951858228,2.608171794808484,1.2454050618641874,2.5164451170187,2.0887216737040073,0.8943010443740852,-1.268649303769308,-0.4671297951237923,2.2722680711187766,2.0114005364112004,2.326427715280501,2.3690147436562516,2.1820666859390414,0.015132931236755902,-1.1668275167604363,-0.46431893052098033,-0.7171767507379831,-0.5617926643918193,-1.0745944337491464,-0.9117249766577863,-0.14519764866886917,-0.7334197995556079
subject_16_task_5_6,16,5_6,,5_6,4,15.0,45.0,0.1637084511645753,18.0,0.0416666666666666,hr_first,高,6.066666666666666,5,73.2,4.43846820423443,67.0,77.0,28.96551724137921,10.2287666728457,3.2250785791540704,2.0583687709528755,4.697571087090443,2.744918575172721,1.5668128202611105,2.2821814795197306,6.337101341730417,2.859223443879749,2.1384469684408423,3.47524998301794,1.5254445233932492,1.3370560439777612,1.6251279710489015,13.352819137554093,4.80469350336422,3.3085959879660938,6.245722815996713,3.1197208298923567,1.452185011660438,1.8877260441327472,12.001275451652091,9.642856685936948,9.26286090520574,12.038353892966976,7.996452909131203,1.041023587055879,1.299636690668798,2994,3.146433682078974,0.2391783409312051,0.96125584502338,0.855377421509686,0.1032064128256513,0.0230460921843687,11,6,2392.1466279904575,4.208555036649695,0.1402851678883231,0.0797382209330152,0.457660183104399,1.1982207798249156,2.92103039979272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,12,692.0,8,16.0,76.375,26.82183279132346,65.0,0.02036666666666667,2.1330442955941304,2.0162786162774022,1.2716958733194286,0.16659003466455546,-0.19168366128890085,0.5423189937014873,-0.651651855066391,3.4358273156765446,0.8265421099450287,2.8027955767876964,2.003890807677971,0.6024998547050011,-1.6987889007921855,-0.7809005630141477,2.832005860359722,2.2873361792652203,2.675398588394041,2.4274147149924605,1.9169972503580315,-0.0278419035891503,-1.4810015239194854,-0.32438989261181905,-0.5639779487185751,-0.5904506508095605,-1.2318674340098237,-1.1603954094358377,0.024759264353077546,-0.9198293461306396
subject_16_task_5_6,16,5_6,,5_6,5,20.0,50.0,0.1818982790717503,18.0,0.0462962962962962,hr_first,高,6.066666666666666,6,76.16666666666667,3.311595788538611,70.0,79.0,19.829424307036216,9.175980493302909,3.2378934402735076,1.9213540226521948,4.191963245747944,2.442569928549249,1.6852143863648776,2.181775558447813,6.142761515387932,3.066420528024824,1.967245078078072,3.3497132415998667,1.4833156261336768,1.5587384419945314,1.7027432316020414,12.299609385744295,4.750416936489477,3.2145010236366565,6.005491089619596,3.0573725828481844,1.4778085001557084,1.8682498606970153,11.360839326905053,10.346892066049945,9.176819224931398,11.426816189326724,7.661888156940769,1.1275030936579544,1.2451826617966473,2995,3.1231919703103914,0.239340559450773,0.9642737896494156,0.8587646076794658,0.1015025041736227,0.021702838063439,11,6,4461.27646047651,7.117940451487502,0.2372646817162501,0.148709215349217,0.5366379744490756,1.1594629894632142,2.9234273489109883,7.0,2.0,0.2333333333333333,3.0,0.0,0.0,4.0,4.0,0.5714285714285714,0.0,0.5714285714285714,1.0,7.0,2.0,0.14,3.0,0.0,0.0,4.0,4.0,0.5714285714285714,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,7.0,0.14,11,653.0,7,14.0,81.71428571428571,25.499766572227585,71.0,0.019066666666666666,1.6313449737106664,2.0527504662935856,0.7565646728664231,-0.2512299919309016,-0.4423190795828709,1.252980968667662,-0.8612955511646556,3.212163883274493,1.5811760150768883,1.9711894175362554,1.6536825459325033,0.48846377373648003,-0.6757628408510111,-0.3796458577242325,2.401405729276939,2.2020959413748917,2.4262275132752706,1.950796952470314,1.7202610549210264,0.1953835360417233,-1.5696273509774648,-0.4051563822733162,-0.11535015359750903,-0.6349738673333141,-1.4833653930641484,-1.3038998520737983,0.48424042404903206,-1.2245111772245811
subject_16_task_5_6,16,5_6,,5_6,6,25.0,55.0,0.2000881069789253,18.0,0.0509259259259259,hr_first,高,6.066666666666666,5,77.4,1.51657508881031,76.0,79.0,10.62111801242227,9.802859628063484,3.135440776752676,1.8092362370001795,4.250609273661639,2.38413226506415,1.7330190014054891,2.349394284026391,6.500335220453027,3.105717194542231,1.897370932955382,3.334748338637287,1.4375611354367612,1.6368529424579648,1.757562678291386,12.752261535457777,4.675091618018692,3.1949741243095944,6.1150070662590394,2.9083435610365127,1.4632643132998575,1.9139457248594895,11.232668057259383,11.298223731814804,8.532826336978944,11.529397674694795,7.23996092276757,1.3240892625285692,1.351181568612211,2995,3.0669734364492265,0.2137759584491613,0.9726210350584308,0.8694490818030051,0.097829716193656,0.0163606010016694,11,6,6530.406292962562,10.027325866325306,0.3342441955441769,0.2176802097654187,0.565568250572155,1.1370885009968603,2.9243053729562782,10.0,2.0,0.3333333333333333,4.0,2.0,0.0,4.0,6.0,0.6,0.0,0.4,1.0,10.0,2.0,0.1818181818181818,4.0,2.0,0.0,4.0,6.0,0.6,0.0,0.4,1.0,2.0,0.0,0.0,0.0,0.8888888888888888,1.0,10.0,0.1818181818181818,9,492.0,5,10.0,82.2,27.644167558456157,71.0,0.0137,1.9300806931982244,1.7611641476543112,0.3350380107270277,-0.20276657238116555,-0.4907616586890708,1.5399106373806992,-0.5113141079347888,3.6236912768959937,1.72429867066374,1.6317786240378322,1.6119351451754516,0.3646138003170743,-0.31527788422701286,-0.09624075454315069,2.586470551043542,2.0837990697169646,2.374518704693068,2.168075746297819,1.2500088160705158,0.06867820840570855,-1.3616896013720496,-0.4213202792252983,0.4908606132142958,-0.9682150906409316,-1.441178240819472,-1.484876575346001,1.5287380675021354,-0.6314248309718963
subject_16_task_5_6,16,5_6,,5_6,7,30.0,60.0,0.2182779348861004,18.0,0.0555555555555555,hr_first,高,6.066666666666666,7,77.0,1.4142135623730951,76.0,79.0,-0.0940860215053236,8.662807438039728,3.1007236788400494,1.7628383864349888,4.013469358586163,2.3046160424625883,1.7589381435644158,2.276708624834665,5.410496030386351,3.2158280520997615,1.8540258560460072,3.2160251908954653,1.3831816365710028,1.734510897791903,1.7346172279140322,12.318568373422144,4.762041777828643,3.084917026681394,5.899167609476897,2.7913349048771297,1.543653115024432,1.9122613536944748,10.702235704534685,11.32294490515372,8.513862483439674,11.9649303060039,7.163997547486879,1.3299421886573803,1.4053469067978137,2995,3.0149377537212447,0.1758023757288474,0.9746243739565944,0.881135225375626,0.0871452420701168,0.0186978297161936,11,6,8599.536125448614,12.936711281163111,0.4312237093721037,0.2866512041816205,0.5805767298645478,1.123683777707135,2.9247608752005663,14.0,2.0,0.4666666666666667,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,14.0,2.0,0.2333333333333333,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,4.0,0.0,0.0,0.0,0.8461538461538461,1.0,14.0,0.2333333333333333,8,562.0,6,12.0,87.0,25.011997121381572,80.0,0.0174,1.3867952457248625,1.662357240871222,0.16059707822511315,-0.3987322942746313,-0.5566775539162057,1.6954807819508209,-0.6630789648636711,2.3694081039399224,2.1253341716164322,1.4212316910881824,1.2807346796388517,0.21741733093229326,0.13539674831477422,-0.21486394621054014,2.409157027216642,2.220352516877809,2.083078609722003,1.739852045344972,0.8807949417865333,0.7690053949119298,-1.3693542851672418,-0.4882140059796791,0.5066135225156204,-0.9780281458318759,-1.2620632537568985,-1.517459451333932,1.5598357158462157,-0.32835828544669987
subject_16_task_5_6,16,5_6,,5_6,8,35.0,65.0,0.2364677627932754,18.0,0.0601851851851851,hr_first,高,6.066666666666666,6,76.83333333333333,1.7224014243685084,75.0,79.0,-5.647840531561433,8.285155817344439,2.913447534162316,1.6768882642685552,3.831204378282692,2.2177680758897464,1.7374130383297408,2.284710591587229,5.822807011018554,3.015355644472566,1.7627043332528984,3.029958878237895,1.3204903347368515,1.710641760838031,1.7189263230813092,13.115985675946709,4.957853124679168,3.009920962575906,5.881443702353101,2.6824145689084107,1.6471705358124131,1.954019316613461,10.531809206439736,11.618088741261722,8.19820891663075,11.735719731111796,7.0890384960446715,1.4171496310240963,1.431498007730068,2995,2.991958164642375,0.1700213689021669,0.9776293823038398,0.8921535893155259,0.0764607679465776,0.0170283806343906,11,6,10668.665957934669,15.846096696000917,0.5282032232000305,0.3556221985978222,0.5897635830292534,1.1148579930133495,2.925039693070981,14.0,2.0,0.4666666666666667,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,14.0,2.0,0.2153846153846154,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,9.0,0.0,0.0,0.0,0.8461538461538461,1.0,14.0,0.2333333333333333,7,512.0,6,12.0,82.0,29.318935860634507,75.5,0.0164,1.2068274937799226,1.1293582956126318,-0.16254762086606808,-0.5493509213821767,-0.6286711833670182,1.5662842324387771,-0.6463711664773455,2.8439319875968767,1.3951922564291923,0.9776411403877862,0.7616678376201603,0.04772216117902169,0.025244795112478794,-0.29598265082502395,2.7351775510531575,2.5278702312108297,1.8844829669475835,1.704687959885115,0.5371032821152596,1.6708233409389301,-1.1793358448417184,-0.5097067817063259,0.6946860713915798,-1.1413665657316077,-1.3563272565091211,-1.5496115439481633,2.0231845290760906,-0.18203733395440944
subject_16_task_5_6,16,5_6,,5_6,9,40.0,70.0,0.2546575907004504,18.0,0.0648148148148148,hr_first,高,6.066666666666666,6,76.5,2.073644135332772,74.0,79.0,-13.434991974317818,7.894522457681881,2.8990866025583357,1.7153347779088162,3.8085609002799834,2.181732380163016,1.690099588660264,2.22030180308187,5.682197729572363,3.0613339917128948,1.7080603838284514,2.985428734564957,1.280310437774341,1.7922867485815763,1.7478473026073051,12.079682836000137,4.657830254010754,3.0076973674649654,5.772296595998023,2.66219019408325,1.5486366096521875,1.9191746677835468,11.610901629234894,11.387289086096942,8.784028765250438,12.109248669557578,7.269605984770135,1.2963629093685332,1.3785529388817224,2995,2.9849645509790683,0.1885487988203407,0.9759599332220368,0.8974958263772955,0.0721202003338898,0.0180300500834724,11,6,12184.52322902233,17.25685057414566,0.5752283524715219,0.4061507743007443,0.6230273124549379,1.078831462073042,2.926049235950817,14.0,2.0,0.4666666666666667,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,14.0,2.0,0.2,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,14.0,0.0,0.0,0.0,0.8461538461538461,1.0,14.0,0.2333333333333333,7,542.0,6,12.0,87.0,35.008570379265706,75.5,0.0174,1.0206733672764041,1.0884862378765874,-0.018001147071304482,-0.5680628514744485,-0.658543391405148,1.282302603723621,-0.7808542361939529,2.682106410679779,1.5626503066843012,0.7122103977078776,0.6374426583235249,-0.06103829260386438,0.4020223420555876,-0.14646722004895993,2.3114897358238884,2.056690450674354,1.8785947072689673,1.4881410016575387,0.4732864669388027,0.812420356906046,-1.3378954430959815,-0.3736205997410135,0.5476151381173752,-0.8382276232929736,-1.202711600258259,-1.4721609558080992,1.3814229704961678,-0.4782762139458737
subject_16_task_5_6,16,5_6,,5_6,10,45.0,75.0,0.2728474186076255,18.0,0.0694444444444444,hr_first,高,6.066666666666666,7,76.14285714285714,2.1157009420498154,74.0,79.0,-11.605095541401328,8.248419204509432,2.812737195242967,1.689860080752932,3.9975113915441978,2.364564431409394,1.6644793419758914,2.3655872087132037,5.42025040218682,3.07195523680586,1.649671748941515,2.9773468911968313,1.248288671472611,1.8621615110866327,1.8048117106370996,11.976422078973894,4.628226477027984,2.9126158489419196,5.6857285722665765,2.580617017452792,1.5890274300022444,1.952103836258413,12.197606535166504,11.666369417266049,8.57119778869742,11.809642209995024,7.439909196288305,1.3611130795103268,1.3778286887240012,2995,2.99736865267434,0.1917305080576023,0.9729549248747912,0.8998330550918197,0.0681135225375626,0.0207011686143572,11,6,12414.77899491631,17.456312489026836,0.5818770829675611,0.4138259664972104,0.6279451772572762,1.0729475266242916,2.9261984914757067,14.0,2.0,0.4666666666666667,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,14.0,2.0,0.1866666666666666,4.0,6.0,0.0,4.0,10.0,0.7142857142857143,0.0,0.2857142857142857,1.0,19.0,0.0,0.0,0.0,0.8461538461538461,1.0,14.0,0.2333333333333333,8,622.0,7,14.0,86.0,32.067636852960234,80.0,0.020066666666666667,1.1893208679277267,0.8427307354766703,-0.1137777805347997,-0.4119195071077622,-0.5069826414119543,1.128526469615057,-0.47750390485371075,2.380634296320962,1.601334015458189,0.4285899990115148,0.6148968419698515,-0.14771601199063158,0.7244823281184661,0.1480268857894175,2.269272033761405,2.0101983245550468,1.6268111568616819,1.3163907570121816,0.21588714649572302,1.164295107737,-1.1880521845311451,-0.2996302455304485,0.7254516462967772,-0.9483593597004711,-1.3259262649485013,-1.3991130113119652,1.725452260627984,-0.4823285470568478
