sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density,blink_count_raw,blink_total_ms_raw,blink_count,blink_rate_per_min,blink_duration_mean_ms,blink_duration_std_ms,blink_duration_median_ms,blink_total_duration_ratio,eeg_frontal_delta_power_z_within_subject,eeg_frontal_theta_power_z_within_subject,eeg_frontal_alpha_power_z_within_subject,eeg_frontal_beta_power_z_within_subject,eeg_frontal_gamma_power_z_within_subject,eeg_frontal_theta_alpha_z_within_subject,eeg_frontal_beta_alpha_z_within_subject,eeg_central_delta_power_z_within_subject,eeg_central_theta_power_z_within_subject,eeg_central_alpha_power_z_within_subject,eeg_central_beta_power_z_within_subject,eeg_central_gamma_power_z_within_subject,eeg_central_theta_alpha_z_within_subject,eeg_central_beta_alpha_z_within_subject,eeg_parietal_delta_power_z_within_subject,eeg_parietal_theta_power_z_within_subject,eeg_parietal_alpha_power_z_within_subject,eeg_parietal_beta_power_z_within_subject,eeg_parietal_gamma_power_z_within_subject,eeg_parietal_theta_alpha_z_within_subject,eeg_parietal_beta_alpha_z_within_subject,eeg_occipital_delta_power_z_within_subject,eeg_occipital_theta_power_z_within_subject,eeg_occipital_alpha_power_z_within_subject,eeg_occipital_beta_power_z_within_subject,eeg_occipital_gamma_power_z_within_subject,eeg_occipital_theta_alpha_z_within_subject,eeg_occipital_beta_alpha_z_within_subject
subject_18_task_3,18,3,,3,1,0.0,30.0,0.1293800539083558,10.0,0.05,eye,低,3.1333333333333333,6,82.33333333333333,1.96638416050035,80.0,85.0,-9.90566037735866,106.27756048875682,28.12664170874715,9.026120653460474,27.211615232878746,20.2420777524274,3.1161384595456116,3.014763072377748,8.691108199381931,2.8055251135945576,1.4937400383188149,3.8353642557746497,2.461913349908168,1.8781883337291672,2.5676249932292787,98.62425297023094,21.851490250592377,7.647655296741298,40.4917958040202,28.07023494362332,2.8572797024342087,5.294668003835626,42.15944422184385,15.870560428061651,22.998463502696932,67.51656487981629,48.757265692263104,0.6900704660639864,2.9356989379703085,2987,3.2147896551724138,0.1945295859507249,0.6233679276866421,0.8332775359892869,0.1178439906260462,0.0354871108135252,2,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,21,1063.0,6,12.0,145.5,96.56241504850632,100.5,0.0291,-0.5642684009800198,0.10842782763310413,1.5078247630702306,1.0221027011640422,1.0731300320167372,-0.4686106358495855,-0.9699454841114776,-0.39456473478372445,-0.20634397129299856,-0.2917005974636039,0.9568187730023704,1.364362658635493,-0.024191569668113484,1.3674745539268252,1.3328903587555025,1.8850611995701034,1.9176799319634328,2.7585198987817954,3.0346116010717643,1.7786892612205287,1.452727178489614,-0.16923908643632066,1.2937374231801548,2.5887030986196837,2.7467123428993134,3.5162351541387733,-0.41893680204750666,-0.5562464914630338
subject_18_task_3,18,3,,3,2,5.0,35.0,0.1509433962264151,10.0,0.0583333333333333,eye,低,3.1333333333333333,7,83.85714285714286,3.38765264987284,80.0,89.0,8.859688195991003,122.1997112202909,30.894431974527897,9.19853250614219,27.534403561870917,19.7474458289343,3.358626167152051,2.993347421828994,9.229955446834376,2.886373072571365,1.5018210387015165,3.997149721339027,2.4346021603125965,1.921915460091664,2.661535308358037,96.81278203362756,23.64223627248237,8.266821314431802,40.1558133644302,27.42088952297816,2.8598944350241298,4.857467197739982,46.862173526062776,16.3029948599735,23.80961797395192,71.36066713409451,46.94599832628694,0.6847230761034983,2.997136166240221,2994,3.177724385245902,0.1845612981194704,0.5788243152972612,0.8453573814295258,0.1209084836339345,0.0237140948563794,2,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,7,712.0,4,8.0,165.5,117.36126561462545,110.5,0.022066666666666665,-0.4440895756452662,0.28650015718393856,1.5916837316023886,1.0932149313424768,0.9326209595803333,-0.341200872028584,-0.9879508641623592,-0.26942273175143333,-0.07315555282244958,-0.2508728223697052,1.3525049609382778,1.2854996457665522,0.11421621296815904,1.7536215189642206,1.2927408534386349,2.1455973901218615,2.3289450005229746,2.7114701475033147,2.90223301366643,1.7826696289677557,0.7727483099198205,-0.009620244439899485,1.411522219567719,2.832166188724905,3.2070813315714206,3.1533302455672336,-0.4452376344349432,-0.3975939915772786
subject_18_task_3,18,3,,3,3,10.0,40.0,0.1725067385444744,10.0,0.0666666666666666,eye,低,3.1333333333333333,6,85.83333333333333,5.419102016632154,80.0,94.0,26.042345276872982,126.47372831993036,34.58427734407846,9.337925076872311,28.50710623180835,19.985600299625585,3.703636199623726,3.052830901632877,9.530091728098467,3.230846175880759,1.6067528592491982,4.088377586830442,2.546640345467004,2.010792236828796,2.544496848594908,92.75795394272356,25.867025799461516,8.419128325397459,41.98815167753965,27.82057954248848,3.0724113945893987,4.987232651018825,50.620772688129506,17.205099190006667,25.405033833249757,70.89259414356289,48.61812061366246,0.6772318943928691,2.7904939866987952,2994,3.150471736204576,0.1507556715667416,0.6753507014028056,0.8677354709418837,0.1162324649298597,0.0083500334001336,2,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,251.0,2,4.0,110.5,13.435028842544403,110.5,0.007366666666666666,-0.41182971558264053,0.5238950814893331,1.6594825344147057,1.3075072397903647,1.0002730098909964,-0.15992303659935073,-0.9379396511861483,-0.19971901590686783,0.4943272682167489,0.2792759917158361,1.5756251664765435,1.6090179167933687,0.39553443850323217,1.2723746402989857,1.2028695015416,2.46928270398163,2.4301110069206326,2.968064099243872,2.9837156860632223,2.106180971906989,0.9745726544080847,0.1179531723926593,1.657233862749169,3.311020573274586,3.151024995131371,3.488356093887207,-0.4820825842162197,-0.9312166710063834
subject_18_task_3,18,3,,3,4,15.0,45.0,0.1940700808625337,10.0,0.075,eye,低,3.1333333333333333,5,86.0,6.041522986797286,80.0,94.0,53.13174946004313,147.08533828564583,35.16454808456453,9.348621560439042,30.22653097391108,20.781009544794543,3.7614687745380384,3.2332607303115113,10.404948999597003,3.3387023788562815,1.6247795800259632,4.200746351669762,2.5112130060862285,2.054864807448485,2.585425372962058,115.26158561553942,25.27813175171644,9.086066080401874,41.555511133334,27.335203561103903,2.7820765915669408,4.5735426933518415,61.00335937497749,18.08663240355162,27.7984521996048,74.71805588262002,47.38053678704258,0.650634512802434,2.6878495013359864,2994,3.1257178619756427,0.1381041573344497,0.6840347361389446,0.8650634602538411,0.1138944555778223,0.0136940547762191,3,1,3.1983702571937873,0.0266530854766148,0.0008884361825538,0.0001066123419064,1.0,-1.000088900581841e-12,3.08483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,6,411.0,4,8.0,95.25,19.241881404893856,90.5,0.0127,-0.2562553138762245,0.5612281712852084,1.6646851702246876,1.686306957911122,1.2262232770245123,-0.12953619850464618,-0.7862418248474916,0.003458028868430632,0.6720088977637512,0.370352698398062,1.8504506463009,1.5067189410668969,0.5350356424923298,1.4406673932959795,1.70164078251544,2.383604327504671,2.8731072206985395,2.9074787007251204,2.884764673653942,1.664208706634927,0.33116023285929364,0.47035628910945004,1.8973424258143632,4.0293905657198525,3.6091615990818933,3.240394222610929,-0.6129002878667067,-1.1962807805191418
subject_18_task_3,18,3,,3,5,20.0,50.0,0.215633423180593,10.0,0.0833333333333333,eye,低,3.1333333333333333,6,86.83333333333333,5.776388721914988,80.0,94.0,32.120300751879554,138.30265645346637,34.372876588229786,9.237644673007257,31.3434601189589,22.11326320616734,3.7209567811878097,3.3930142615839807,10.64554824286789,3.44655681180411,1.5578629894571965,4.177186324754142,2.724574629014921,2.2123619568143074,2.681356674510633,115.24716125854737,27.594213782095608,8.467920671651768,45.36095302178027,29.58935066884238,3.2586764628621667,5.356799476598319,59.56121649319133,17.3701478371271,26.50789957386361,78.94202307748593,51.5060699846941,0.6552819392093142,2.978056516983397,2994,3.1249401217861976,0.1323430813002301,0.7017368069472278,0.8600534402137608,0.1158984635938543,0.0136940547762191,3,1,54.12783295136236,0.4510652745946863,0.0150355091531562,0.0018042610983787,1.0,-1.000088900581841e-12,3.08483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,6,411.0,4,8.0,95.25,19.241881404893856,90.5,0.0127,-0.32254613122100634,0.5102941141298495,1.6107074003313424,1.9323732351635732,1.6046738325154102,-0.15082232288439412,-0.651927761472072,0.05933484994030471,0.849687611378277,0.032268874563527436,1.7928287999540182,2.1228158838925615,1.0335552807266264,1.8351243908502939,1.7013210805616064,2.720571815816332,2.462520065321977,3.4403788563838495,3.3443056212589353,2.3897294590623597,1.549360322716957,0.42140744219674825,1.7021891666299802,3.642039029926386,4.1150231441332465,4.066984639921125,-0.5900421862763104,-0.44686434664993624
subject_18_task_3,18,3,,3,6,25.0,55.0,0.2371967654986523,10.0,0.0916666666666666,eye,低,3.1333333333333333,6,89.66666666666667,2.503331114069145,87.0,94.0,0.0863309352517406,173.1177229253026,37.45277110730641,8.767709769556767,31.32505463657968,22.162111740964068,4.27167094847846,3.5727750415902797,12.36042088962485,3.27005608229315,1.540955939843523,4.1467574622838335,2.7258617925947632,2.122095770386017,2.691029220929521,151.6872505685568,30.05474215347339,8.711450266562501,45.14793399077302,29.157690562195995,3.450027404602616,5.182596767390855,75.78740208890719,18.302380359377995,26.59533609947196,81.47936391638926,51.582134300720575,0.6881800737890047,3.06367114939401,2994,3.1407718166383702,0.146666170529236,0.6753507014028056,0.8443553774215097,0.1269205076820307,0.0173680694722778,3,1,105.05729564553094,0.8754774637127578,0.0291825821237585,0.003501909854851,1.0,-1.000088900581841e-12,3.08483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,8,521.0,5,10.0,98.2,24.72245942457991,81.0,0.016366666666666668,-0.059765438895936385,0.7084464086022468,1.3821369414698643,1.9283183955614631,1.6185501352532006,0.1385381675090493,-0.5007924431735288,0.4575972498598516,0.5589214211123424,-0.0531508985385832,1.7184075251373925,2.1265326607691715,0.747839210409064,1.8748966399234201,2.5089804969708287,3.078554846791715,2.6242783218891255,3.4105484508462727,3.2563053777208966,2.6810200942275375,1.2784226678518593,0.9721525068730461,1.9561070087725103,3.668282572268867,4.418894622739814,4.082224860206476,-0.428234588582278,-0.2257772982715561
subject_18_task_3,18,3,,3,7,30.0,60.0,0.2587601078167116,10.0,0.1,eye,低,3.1333333333333333,6,89.66666666666667,2.503331114069145,87.0,94.0,0.0863309352517406,160.39764812381816,36.015047851401356,9.26693904553689,31.402958120747073,22.43454024086592,3.8864017206141863,3.3887088246114287,11.313599499044493,3.360641779207072,1.6362321132682374,4.1363601112868755,2.6232347201063013,2.0538906136577837,2.5279788104297993,132.31433767449835,27.976863137724703,8.14754918279246,43.58145520576379,28.678835004904418,3.4337765271563563,5.3490263425236355,68.32305959015977,17.14679443153351,23.87394850787977,75.24479721418955,48.956982970657485,0.7182219742944527,3.151753351120551,2995,3.1283787103377687,0.1540076918777665,0.6070116861435726,0.8447412353923205,0.1202003338898163,0.0243739565943238,3,1,120.0,1.0,0.0333333333333333,0.0039999999999999,1.0,-1.000088900581841e-12,3.08483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11,741.0,8,16.0,88.875,28.462694882951613,80.5,0.0237,-0.1557753105262191,0.615947084287944,1.6249558167013407,1.9454810064746604,1.6959383384975961,-0.06389296524492764,-0.6555475921561519,0.21448322032064432,0.708151727736147,0.4282145260588898,1.6929782434261698,1.8301896505155386,0.5319520645478009,1.2044546221722934,2.079598576716751,2.776243588482045,2.2497215612604924,3.19118449448105,3.1586836493925876,2.6562816300723244,1.537270759203691,0.7187996921903346,1.6413530410606065,2.8514746079387714,3.6722440454025085,3.5562504395777665,-0.2804752151997338,0.0016818806803828952
subject_18_task_3,18,3,,3,8,35.0,65.0,0.2803234501347709,10.0,0.1083333333333333,eye,低,3.1333333333333333,5,91.6,3.361547262794322,88.0,96.0,2.0957309184992887,195.00568651742472,36.9796688495927,9.166235714845437,32.247840368093335,22.891345540567546,4.034335358592321,3.5181116186948405,13.48562270237702,3.358055723255936,1.7069380659107405,4.066328927218855,2.5349657383698667,1.967297929737268,2.3822357755254915,172.4069916506686,30.177319981476725,8.939811618189276,43.17780311528658,28.244467494228186,3.375610277970155,4.829833665335341,88.31942217046067,18.140351620620983,27.02294168191513,78.2300757700439,50.64139324239932,0.6712944813392119,2.8949503977355175,2995,3.122307639836289,0.1464631802042177,0.6637729549248748,0.8550918196994992,0.1098497495826377,0.0237061769616026,4,4,424.88340485250853,1.5200658516179524,0.0506688617205984,0.0141627801617502,0.418370089424232,1.2473509302020431,3.1554289062979097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,10,751.0,8,16.0,91.375,32.21773025613603,80.5,0.024366666666666665,0.10544275425735451,0.6780082564819757,1.5759749762997939,2.1316136991731556,1.825702079769755,0.013835469165308499,-0.5467511546249398,0.7189143658497565,0.7038914754481829,0.7854434080754579,1.5216997409732627,1.575306653996868,0.25786358970483925,0.6051782750907632,2.968213564380791,3.096388732760866,2.7759614638087142,3.134658532936253,3.0701314618358313,2.5677360315165214,0.7297698482218703,1.3975111452065145,1.9119742557004356,3.796625791886195,4.029760463737546,3.893738304233236,-0.5112854115194603,-0.6614735330630025
subject_18_task_3,18,3,,3,9,40.0,70.0,0.3018867924528302,10.0,0.1166666666666666,eye,低,3.1333333333333333,5,92.0,3.8078865529319543,88.0,96.0,23.287671232876683,186.0536957576897,36.49237160832833,8.908669027507125,31.968132323080315,23.0129085397996,4.096276502769554,3.588429677247289,12.999807854231577,3.3366175959512625,1.658522690705438,3.817088636518978,2.518086023181278,2.011800992925856,2.301499194379676,165.35201378817888,28.78757192246272,8.43470628991662,42.13015365602587,28.10615174144194,3.4129904389056436,4.994857225365501,80.27083551504352,17.83451466949009,24.17906593781642,71.48056602572369,47.11256335257339,0.7376014737441384,2.9562997267784037,2995,3.1020532786885244,0.1387322409291484,0.5826377295492488,0.8520868113522537,0.1108514190317195,0.025041736227045,4,4,820.4249264566971,2.194775051952608,0.0731591683984202,0.0273474975485565,0.4977592703345976,1.1920377908804325,3.168825632033901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,10,751.0,8,16.0,91.375,32.21773025613603,80.5,0.024366666666666665,0.03787400980489768,0.6466568365393364,1.4506977613492102,2.0699923173164145,1.8602342307560056,0.046381063448514406,-0.48763068262271836,0.6060886188738206,0.6685744395351448,0.5408335879596026,0.9121212466194007,1.5265652693902605,0.39872741517993887,0.27319998565358006,2.8118467878143765,2.894193859397383,2.4404582683383187,2.9879495366404867,3.041933767068759,2.6246392833241052,0.9864311628218243,1.1243280639492126,1.8286715851487785,2.9430537521952407,3.2214404010838926,3.186703157137979,-0.18515825299111313,-0.5030480198512635
subject_18_task_3,18,3,,3,10,45.0,75.0,0.3234501347708894,10.0,0.125,eye,低,3.1333333333333333,7,91.0,3.559026084010437,88.0,96.0,1.526946107784381,168.9701681140214,33.98585893152734,8.422636444971452,29.84513740773305,22.11844284211461,4.035061842401833,3.543443623944071,11.83275219441128,3.181009012440423,1.5642830825162382,3.7165948219164298,2.3659333906348134,2.0335251643350825,2.3759093628616603,160.10784957150415,26.28854347550863,8.363067286763052,39.24574412330993,25.838945692441477,3.14340929877699,4.692745230619818,74.67443264616884,15.031560092045344,22.566392121683283,61.12441159432252,44.53173939807118,0.6661038242618335,2.7086479426895247,2995,3.1079273037542663,0.1358667527461197,0.6287145242070117,0.8474123539232054,0.1145242070116861,0.026711185308848,4,4,1212.768077803692,2.842831166810649,0.0947610388936883,0.0404256025934564,0.5268853370456364,1.138158986438621,3.1737405829506575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,10,801.0,8,16.0,97.625,36.870187337274466,95.5,0.026033333333333332,-0.0910707740630062,0.4853944183117238,1.2142975927383843,1.602283637888037,1.6061452010380275,0.014217183898411671,-0.5254530679324553,0.33505135625335336,0.4122258390194979,0.06470521945685881,0.6663388812350558,1.0872136630984268,0.4674900951108157,0.5791648915091715,2.695614948348763,2.5306094405624195,2.392873906952683,2.58402738146722,2.579730562762927,2.214260004171444,0.5165560630865493,0.9343763811096681,1.0652137986623837,2.4590194966728656,1.981189224932102,2.669610154281885,-0.536815362164827,-1.1425719006203057
