sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density,blink_count_raw,blink_total_ms_raw,blink_count,blink_rate_per_min,blink_duration_mean_ms,blink_duration_std_ms,blink_duration_median_ms,blink_total_duration_ratio,eeg_frontal_delta_power_z_within_subject,eeg_frontal_theta_power_z_within_subject,eeg_frontal_alpha_power_z_within_subject,eeg_frontal_beta_power_z_within_subject,eeg_frontal_gamma_power_z_within_subject,eeg_frontal_theta_alpha_z_within_subject,eeg_frontal_beta_alpha_z_within_subject,eeg_central_delta_power_z_within_subject,eeg_central_theta_power_z_within_subject,eeg_central_alpha_power_z_within_subject,eeg_central_beta_power_z_within_subject,eeg_central_gamma_power_z_within_subject,eeg_central_theta_alpha_z_within_subject,eeg_central_beta_alpha_z_within_subject,eeg_parietal_delta_power_z_within_subject,eeg_parietal_theta_power_z_within_subject,eeg_parietal_alpha_power_z_within_subject,eeg_parietal_beta_power_z_within_subject,eeg_parietal_gamma_power_z_within_subject,eeg_parietal_theta_alpha_z_within_subject,eeg_parietal_beta_alpha_z_within_subject,eeg_occipital_delta_power_z_within_subject,eeg_occipital_theta_power_z_within_subject,eeg_occipital_alpha_power_z_within_subject,eeg_occipital_beta_power_z_within_subject,eeg_occipital_gamma_power_z_within_subject,eeg_occipital_theta_alpha_z_within_subject,eeg_occipital_beta_alpha_z_within_subject
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,1,0.0,30.0,0.1030181086519114,18.0,0.0277777777777777,eye,高,6.733333333333333,0,,,,,,2.8377576135981006,1.2236769733308093,0.7712466393336577,3.167594622887739,2.5522260765490468,1.5866221140205456,4.107109789968719,2.616919054510316,1.154524327188682,0.7548934544587623,2.755296814450611,2.0816907162097116,1.5293871212811667,3.649914829935944,3.2839947136714036,1.487269420343231,0.9104762449210572,2.226501540300697,1.5413343433750846,1.6335071108551378,2.445425185688118,6.7145382478998386,4.266873552304723,2.074547916733526,4.792070801607458,3.363506689287366,2.056772715581869,2.30993498051026,2935,2.730572503419973,0.1053548710973184,0.9853492333901192,0.8497444633730835,0.1103918228279386,0.0047700170357751,11,4,4056.999999999999,5.999999999999997,0.1999999999999999,0.1352333333333333,0.4370224303672667,1.2276845427783702,2.75012270396845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,140.0,1,2.0,110.0,,110.0,0.0036666666666666666,-0.5497317450903043,-0.5569118536779867,-1.221084642196437,-0.5981813681890755,-0.5399828934913149,1.0104429396824244,-0.3375788804465505,-0.013084627771808853,0.2507277506687297,-0.49117677699869117,-0.043361356632366455,-0.10864873274343365,1.2185241703106098,0.47081533626162136,-0.03960887357101471,0.8018055764901724,-0.719830134880633,0.21181367888097805,0.2703551063329955,1.627228272476167,0.7832851343064995,0.23856857244996182,0.6611569741255339,-0.7999081939329047,-0.26540589912501145,-0.25714398039113057,1.2657818839529613,0.521648757562007
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,2,5.0,35.0,0.12018779342723,18.0,0.0324074074074074,eye,高,6.733333333333333,0,,,,,,2.87178420252956,1.182642240945781,0.7883627799576505,2.97847208005921,2.2943717230890344,1.5001243983249826,3.7780475636092414,2.594066075884443,1.1986676145185824,0.72936832873114,2.3876843248538564,1.5491086993154572,1.6434324980958086,3.27363312992715,3.1648396393627993,1.344303097156058,0.8810844189236052,2.0030316457799753,1.20314821492482,1.525736998956755,2.273370862949795,6.144510697788696,3.9747858783028582,2.1715971246489896,4.61457958857675,3.5023957209876584,1.830351418864275,2.124970389856561,2995,2.7074430294906167,0.1124639657193418,0.9813021702838064,0.8557595993322203,0.1061769616026711,0.0053422370617696,16,5,4416.341804693524,6.207352455103013,0.2069117485034337,0.1472113934897841,0.401463491371008,1.3902608136560286,2.7482297706518892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,5,160.0,1,2.0,110.0,,110.0,0.0036666666666666666,-0.5192295703050006,-0.7297710066216497,-1.1338323989694687,-0.6648377540351189,-0.5984420778132499,0.620934185654196,-0.5383353058129785,-0.040847711992542925,0.3910968051096038,-0.5802658744281628,-0.15066698120047045,-0.22121543351347386,1.6930134045236813,0.2253360842342727,-0.21592675052229188,0.18640145851033374,-0.955624042922234,-0.12349371105189724,-0.09926123706959825,1.0903799143302835,0.4183912595236604,-0.02205113617061411,0.22874354242074482,-0.580331869975702,-0.3828172122690062,-0.17758810451650864,0.6209842162375295,0.010219040442460242
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,3,10.0,40.0,0.1373574782025486,18.0,0.037037037037037,eye,高,6.733333333333333,0,,,,,,3.104044107038141,1.250048535174792,0.8146645856201261,3.1190452280933036,2.3618261536929976,1.5344333818356053,3.82862503556488,2.767663875754375,1.1482456585262375,0.792867299445806,2.396439501532903,1.4562987298388654,1.448219215660467,3.0224975897075756,3.339785470447527,1.4001087631656168,0.9271086733276896,2.04843520732802,1.1775085243542955,1.5101883991012388,2.2094876968150143,7.429129347653923,3.9362715957412338,2.5666623221549187,4.780244946733586,3.829169325928152,1.533614905928263,1.8624362486141877,2995,2.690461357526882,0.1062824547464425,0.9789649415692822,0.8540901502504173,0.1085141903171953,0.0076794657762938,16,5,5052.795585588894,6.574607954754121,0.219153598491804,0.1684265195196298,0.3508948600764265,1.4971357323864716,2.7455378161208372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,5,230.0,2,4.0,95.0,21.213203435596427,95.0,0.006333333333333333,-0.31102673759646765,-0.4458214291230183,-0.9997547704090981,-0.6152926397678627,-0.583149216013188,0.7754313225061369,-0.5074786724454267,0.17004866248997288,0.23076252296132424,-0.3586385238310928,-0.14811135611063805,-0.24083177753400886,0.8808226478434569,0.06149988234312421,0.04294663525099485,0.42661912588314416,-0.5863976188279723,-0.05536753347892721,-0.12728381953943171,1.0129257838959391,0.28290744456732825,0.5652835253754026,0.17172609672047326,0.31351327987179145,-0.27322876047168165,0.009588377567741568,-0.22405560219348614,-0.715691584479225
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,4,15.0,45.0,0.1545271629778672,18.0,0.0416666666666666,eye,高,6.733333333333333,1,69.0,,69.0,69.0,,2.987105806213952,1.3236456323253685,0.9836955878153346,3.746253157520206,3.1108292832545548,1.3455845982444838,3.8083460004534206,2.6147910541185104,1.2348507868727046,0.8532328709813606,2.950699109394718,2.284118588818259,1.4472611509357574,3.4582576571398618,3.0545679104227377,1.388739050651681,1.0031254900435185,2.235683027225101,1.3789128825972918,1.3844120844655572,2.22871719382598,6.433374084876494,4.255534787048636,2.7044502928682874,5.433817344200096,4.623704128107943,1.5735304132860577,2.009213243271369,2995,2.707983153638814,0.1174555415144425,0.9762938230383972,0.8681135225375626,0.1011686143572621,0.0103505843071786,16,5,5437.7156624289255,6.658125491567848,0.2219375163855949,0.1812571887476308,0.2797987961115739,1.5487007763492258,2.7448829713421063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,6,310.0,3,6.0,90.0,17.320508075688775,80.0,0.009,-0.4158527751996097,-0.13579304260421662,-0.13809241086054122,-0.39423272208537413,-0.41333974248209443,-0.07497557904973198,-0.5198506382097664,-0.01566984237628788,0.5061538839370581,-0.1479475230773931,0.013676328142757639,-0.06586351461623856,0.8768365906243828,0.3457817260101554,-0.37909963465899704,0.37767775461935016,0.023442079184029494,0.22559012256225133,0.09283858104587266,0.3863809393524581,0.32368948109382745,0.11001878178211642,0.6443708005479101,0.625262100337367,0.15911260511431857,0.4646992767255883,-0.11038508434425146,-0.3098511120305138
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,5,20.0,50.0,0.1716968477531857,18.0,0.0462962962962962,eye,高,6.733333333333333,2,71.0,2.8284271247461903,69.0,73.0,47.99999999999983,3.373546859451193,1.3842836598035395,0.9974747990783912,3.905933748948373,3.316336523689956,1.3877881036017523,3.9158219862368746,2.8049968530051483,1.2733652940725573,0.8324490737757402,3.207667379819863,2.449556256065399,1.529661494242468,3.853289625599369,3.430400847614535,1.4285264951675551,0.998738004137637,2.25908955621821,1.4200066282190882,1.4303315676877844,2.261944120338974,7.289685572237272,4.476317768109385,2.825850177439818,5.247869654952802,4.5343094285335255,1.5840605435652886,1.8570940868872603,2995,2.7146553234501347,0.1149267294842496,0.9739565943238732,0.8704507512520868,0.0971619365609348,0.0126878130217028,16,5,4871.809481300695,5.669080977655956,0.1889693659218652,0.1623936493766898,0.2867168614330092,1.4729563990171068,2.7505376137495503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,7,380.0,4,8.0,85.0,17.320508075688775,80.0,0.011333333333333334,-0.06943860556883737,0.1196451546697488,-0.06785069463423848,-0.3379531746809665,-0.36674838000595766,0.11507146040262344,-0.4542809890971137,0.21540286373402934,0.6286242590474693,-0.22048819355104146,0.08868504393041371,-0.030896557801397585,1.219665707301699,0.6034933078969832,0.17703333708835303,0.5489443623987694,-0.011756225552631614,0.26071065707944,0.1377514817111005,0.6151252427638202,0.394157352923417,0.5015290698039926,0.9712230952526921,0.899932455259429,0.036107291229630016,0.41349383929019645,-0.08039760726846924,-0.7304627374396562
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,6,25.0,55.0,0.1888665325285043,18.0,0.0509259259259259,eye,高,6.733333333333333,3,69.66666666666667,3.055050463303893,67.0,73.0,-12.558139534883669,3.2300349908258585,1.3095467250476966,0.98866764134067,3.9042213016250784,3.2599043223644903,1.3245570809538203,3.948972474036684,2.5553779732436865,1.2884264254404485,0.8422894756937643,3.143670187482675,2.510248290094236,1.5296717608625188,3.7322918998760417,3.156433051077169,1.4045489189109608,1.0238952022022048,2.265192130979387,1.442239495725862,1.3717701927795365,2.212328103606099,5.93495891013234,3.9300083005145057,2.65525542932518,5.350134938000072,4.803562235668028,1.4800867205130988,2.014922887987384,2994,2.704513096037609,0.1074644530197461,0.9792919171676688,0.8924515698062793,0.0865063460253841,0.0083500334001336,10,4,3225.921733689552,2.238134182979863,0.0746044727659954,0.1075307244563184,0.5544745625493153,0.9404996566041262,2.7320810389171504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,250.0,3,6.0,76.66666666666667,5.773502691896257,80.0,0.007666666666666666,-0.19808576762769187,-0.19518480728254067,-0.1127465789314702,-0.33855672805866216,-0.3795423484408926,-0.16966480863609795,-0.43405632367905134,-0.08784819580429759,0.6765164052105098,-0.18614272020940337,0.07000434376736987,-0.01806867060856792,1.2197084218844545,0.5245566197538221,-0.2283662694225691,0.44573194958344386,0.19006567035595484,0.26986731963315513,0.16205061907922763,0.3234063476410046,0.2889313969066993,-0.1178593577719591,0.16245376781435028,0.513957458842704,0.10375628053224384,0.5677223096096484,-0.3764920099567813,-0.29406386339203416
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,7,30.0,60.0,0.2060362173038229,18.0,0.0555555555555555,eye,高,6.733333333333333,4,68.75,3.095695936834452,66.0,73.0,-16.95652173913051,3.2088489563060225,1.3042982879364715,0.9920688948904804,3.862572364075001,3.2545483681393717,1.314725514179597,3.8934517390562977,2.3223670611400276,1.198494839817631,0.7815875581178012,3.0567882872047463,2.4364570001959507,1.5334108474088497,3.9109991650404776,3.4525748126404077,1.4390555423525866,1.0256935673521776,2.2892676520464725,1.4322151783732655,1.4030072803005875,2.231921623488587,5.116553740266586,3.6270260165055817,2.6566944604775955,5.245599993424172,4.715572739993357,1.3652401773945615,1.9744837321191864,2994,2.712895903290799,0.1003632966280524,0.9792919171676688,0.905811623246493,0.0744822979291917,0.0083500334001336,5,2,3466.0,2.0,0.0666666666666666,0.1155333333333333,0.6156953260242354,0.666132203320721,2.7268583900750145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,250.0,3,6.0,76.66666666666667,5.773502691896257,80.0,0.007666666666666666,-0.21707739000962417,-0.21729389245487327,-0.09540814916952639,-0.3532359281682588,-0.3807566180898811,-0.2139374381914408,-0.4679287751350953,-0.3709229618113829,0.3905474073897962,-0.3980076530911454,0.04464362606375362,-0.03366522059697063,1.235265004374497,0.6411419487331309,0.2098449186314766,0.5942670569440379,0.2044929314194454,0.3059916492552366,0.1510946654984208,0.47901144866147755,0.3304854553968732,-0.4920386704427209,-0.28608829963768934,0.5172133037619381,0.03460589893015449,0.5173217753812143,-0.7035495095009856,-0.40587870304935625
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,8,35.0,65.0,0.2232059020791415,18.0,0.0601851851851851,eye,高,6.733333333333333,5,68.0,3.1622776601683795,65.0,73.0,-18.539325842696552,2.965062999153345,1.313134114633604,0.962139548603702,3.6773952465566047,3.101243036122756,1.364806297110726,3.8221017438617895,2.2424415102686477,1.328952172036512,0.8232746578548635,3.016553097104298,2.4853627939444545,1.6142269889604637,3.664090796823836,3.1528384424378437,1.4299940956313126,1.0074703469470907,2.2580026117369565,1.4541279844599928,1.41939075424362,2.2412596247416303,4.858491672938814,3.912291648830719,2.442817614309623,5.360345458382535,4.66963860455418,1.601548812286746,2.194328969540139,2994,2.7218146406984554,0.082962367033843,0.9846359385437542,0.915497661990648,0.0704742818971276,0.0076820307281229,5,2,3106.658195306474,1.7926475448969847,0.0597549181632328,0.1035552731768824,0.6156953260242355,0.6661322033207209,2.7268583900750145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3,230.0,3,6.0,76.66666666666667,5.773502691896257,80.0,0.007666666666666666,-0.4356124271316827,-0.180072898685688,-0.24797774176667897,-0.4185017458257314,-0.41551307863296283,0.01158185099902287,-0.5114584447165359,-0.46802101789228506,0.8053822209275641,-0.25250920855231057,0.03289902454577757,-0.023328476816336752,1.571503001809544,0.4800634760152233,-0.2336853359200232,0.5552617058738691,0.05829839567364267,0.25907974156935426,0.17504399569886803,0.5606244388691531,0.35028954637070087,-0.610026056806545,0.13622562183357995,0.03331144953937883,0.11051059014294619,0.49101062371811605,-0.030594894151597055,0.20199649720875842
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,9,40.0,70.0,0.2403755868544601,18.0,0.0648148148148148,eye,高,6.733333333333333,6,66.83333333333333,4.020779360604939,61.0,73.0,-21.355932203389926,2.778372213207284,1.1736394406268968,0.8073713028109101,3.2081135829268703,2.5024455174481526,1.4536551355501526,3.973529368405387,2.1752290571427637,1.1690550452466948,0.7556584904397902,2.724476975810955,2.0995708887686058,1.54706796792068,3.6054342143701983,3.1720020224949006,1.3157235924716195,0.9491266426018736,2.049761177331725,1.3001864342651954,1.3862466117954302,2.1596287421799096,4.54298418128337,3.423158931469762,1.9528475445517033,4.800760242696861,3.624748009464032,1.7529063858672,2.4583384689145955,2994,2.7322324179504354,0.0756497365971414,0.9899799599198396,0.9445557782231128,0.0477621910487641,0.0050100200400801,5,2,2470.2044144111055,1.4253920452458777,0.0475130681748625,0.0823401471470368,0.6156953260242355,0.6661322033207209,2.7268583900750145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2,150.0,2,4.0,75.0,7.0710678118654755,75.0,0.005,-0.6029661103117094,-0.7676953781672301,-1.0369334370006056,-0.5839004295233052,-0.5512688417061835,0.411677970059559,-0.4190744936887073,-0.5496744875499965,0.2969332618013051,-0.488506609345919,-0.05235762886986358,-0.10486957390909891,1.2920858666856998,0.4417970017570731,-0.20532832494040676,0.06337986516907448,-0.4097599705665195,-0.05337796999868688,0.0067954837286445975,0.3955194933324772,0.17716626434080646,-0.75427780486121,-0.5878979057884368,-1.0752584097861357,-0.2596577909715236,-0.10750450355940133,0.4004379276304897,0.931986508295518
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,10,45.0,75.0,0.2575452716297787,18.0,0.0694444444444444,eye,高,6.733333333333333,6,65.33333333333333,4.676180777800049,60.0,73.0,-29.490373725934344,2.673165232324018,1.1060052958446311,0.8410967729210947,2.8024891415274347,2.1050814716365966,1.3149560567252208,3.331946134800285,2.2239651553440205,1.1870745048030085,0.8011091357160319,2.0561237441623335,1.2555270108673229,1.4817887499710016,2.56659630067078,3.163704977367936,1.256945544972362,0.9368601321168186,1.8925168320604628,1.132215606899376,1.3416576305070385,2.020063366112458,4.935971567259609,2.942225371530269,2.1491167231084134,4.564338232108063,3.236521632685816,1.3690393545841142,2.1238205366092684,2994,2.716903473613894,0.0505186038644157,0.995991983967936,0.962257849031396,0.0344021376085504,0.0023380093520374,5,2,1833.7506335157368,1.0581365455947702,0.0352712181864923,0.0611250211171912,0.6156953260242355,0.6661322033207209,2.7268583900750145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1,70.0,1,2.0,70.0,,70.0,0.0023333333333333335,-0.6972759374295415,-1.0526047780247305,-0.8650125007544509,-0.7268630762291531,-0.641356822325095,-0.21289927968084565,-0.8104957697755195,-0.4904671333970643,0.3542324493437349,-0.32987244595507587,-0.24744909878383675,-0.28326695051327894,1.020489709085084,-0.23592172340714554,-0.21760574904713403,-0.18963253433497118,-0.508167209557222,-0.2893166457996984,-0.1767861530870505,0.1734029809302121,-0.11882485083873258,-0.574601826034012,-1.299883208783829,-0.6311943554857463,-0.4160521174589524,-0.329881238886277,-0.6927302949369216,0.007039679901539758
